ISO_codes,Name_x,status,cantidad de hablantes,country,IDH,coordinates,Population,Unnamed: 0,Name_y,Macroarea,Latitude,Longitude,ISO639P3code,Family,Subfamily,Genus,GenusIcon,Country_ID,100A,101A,102A,103A,104A,105A,106A,107A,108A,108B,109A,109B,10A,10B,110A,111A,112A,113A,114A,115A,116A,117A,118A,119A,11A,120A,121A,122A,123A,124A,125A,126A,127A,128A,129A,12A,130A,130B,131A,132A,133A,134A,135A,136A,136B,137A,137B,138A,139A,13A,140A,141A,142A,143A,143B,143C,143D,143E,143F,143G,144A,144B,144C,144D,144E,144F,144G,144H,144I,144J,144K,144L,144M,144N,144O,144P,144Q,144R,144S,144T,144U,144V,144W,144X,144Y,14A,15A,16A,17A,18A,19A,1A,20A,21A,21B,22A,23A,24A,25A,25B,26A,27A,28A,29A,2A,30A,31A,32A,33A,34A,35A,36A,37A,38A,39A,39B,3A,40A,41A,42A,43A,44A,45A,46A,47A,48A,49A,4A,50A,51A,52A,53A,54A,55A,56A,57A,58A,58B,59A,5A,60A,61A,62A,63A,64A,65A,66A,67A,68A,69A,6A,70A,71A,72A,73A,74A,75A,76A,77A,78A,79A,79B,7A,80A,81A,81B,82A,83A,84A,85A,86A,87A,88A,89A,8A,90A,90B,90C,90D,90E,90F,90G,91A,92A,93A,94A,95A,96A,97A,98A,99A,9A
deu,German,0,80000000,Germany,0.9259999999999999,Point(10.0 51.0),83149300,gha,German (Hannover),Eurasia,52.4166666667,9.666666666669999,deu,Indo-European,,Germanic,cff4400,DE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
deu,German,0,80000000,Germany,0.9259999999999999,Point(10.0 51.0),83149300,gma,German (Mansfeldisch),Eurasia,51.5833333333,11.5,deu,Indo-European,,Germanic,cff4400,DE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
deu,German,0,80000000,Germany,0.9259999999999999,Point(10.0 51.0),83149300,gth,German (Thuringian),Eurasia,51.0,11.0,deu,Indo-European,,Germanic,cff4400,DE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
deu,German,0,80000000,Germany,0.9259999999999999,Point(10.0 51.0),83149300,gti,German (Timisoara),Eurasia,45.75,21.25,deu,Indo-European,,Germanic,cff4400,RO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
deu,German,0,105000000,Germany,0.9259999999999999,Point(10.0 51.0),83149300,gbl,German (Berlin),Eurasia,52.5,13.333333333299999,deu,Indo-European,,Germanic,cff4400,DE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
deu,German,0,105000000,Germany,0.9259999999999999,Point(10.0 51.0),83149300,ger,German,Eurasia,52.0,10.0,deu,Indo-European,,Germanic,cff4400,CH DE AT,2.0,1.0,2.0,2.0,1.0,1.0,3.0,1.0,3.0,4.0,8.0,5.0,2.0,,1.0,2.0,2.0,1.0,7.0,2.0,4.0,,,,2.0,,,1.0,1.0,1.0,2.0,2.0,1.0,,2.0,3.0,2.0,,1.0,7.0,7.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0,,1.0,,,2.0,6.0,,,,1.0,1.0,4.0,16.0,6.0,,13.0,15.0,,,4.0,8.0,7.0,1.0,15.0,9.0,,,4.0,4.0,1.0,11.0,,,,,,,1.0,4.0,3.0,1.0,1.0,1.0,3.0,1.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,2.0,3.0,3.0,2.0,3.0,2.0,6.0,4.0,3.0,1.0,2.0,3.0,,1.0,3.0,1.0,1.0,5.0,3.0,2.0,4.0,2.0,2.0,4.0,4.0,6.0,1.0,1.0,6.0,5.0,1.0,,4.0,2.0,1.0,1.0,2.0,,,3.0,,1.0,2.0,1.0,2.0,1.0,2.0,3.0,2.0,1.0,4.0,2.0,2.0,1.0,1.0,2.0,5.0,1.0,5.0,1.0,1.0,7.0,1.0,1.0,3.0,6.0,2.0,2.0,1.0,1.0,1.0,2.0,1.0,,1.0,,,,,1.0,6.0,1.0,1.0,5.0,5.0,5.0,2.0,2.0,2.0
deu,German,0,105000000,Germany,0.9259999999999999,Point(10.0 51.0),83149300,gha,German (Hannover),Eurasia,52.4166666667,9.666666666669999,deu,Indo-European,,Germanic,cff4400,DE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
deu,German,0,105000000,Germany,0.9259999999999999,Point(10.0 51.0),83149300,gma,German (Mansfeldisch),Eurasia,51.5833333333,11.5,deu,Indo-European,,Germanic,cff4400,DE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
deu,German,0,105000000,Germany,0.9259999999999999,Point(10.0 51.0),83149300,gth,German (Thuringian),Eurasia,51.0,11.0,deu,Indo-European,,Germanic,cff4400,DE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
deu,German,0,105000000,Germany,0.9259999999999999,Point(10.0 51.0),83149300,gti,German (Timisoara),Eurasia,45.75,21.25,deu,Indo-European,,Germanic,cff4400,RO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
deu,German,0,80000000,Czech Republic,0.878,Point(16.0 50.0),10701777,gbl,German (Berlin),Eurasia,52.5,13.333333333299999,deu,Indo-European,,Germanic,cff4400,DE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
deu,German,0,80000000,Czech Republic,0.878,Point(16.0 50.0),10701777,ger,German,Eurasia,52.0,10.0,deu,Indo-European,,Germanic,cff4400,CH DE AT,2.0,1.0,2.0,2.0,1.0,1.0,3.0,1.0,3.0,4.0,8.0,5.0,2.0,,1.0,2.0,2.0,1.0,7.0,2.0,4.0,,,,2.0,,,1.0,1.0,1.0,2.0,2.0,1.0,,2.0,3.0,2.0,,1.0,7.0,7.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0,,1.0,,,2.0,6.0,,,,1.0,1.0,4.0,16.0,6.0,,13.0,15.0,,,4.0,8.0,7.0,1.0,15.0,9.0,,,4.0,4.0,1.0,11.0,,,,,,,1.0,4.0,3.0,1.0,1.0,1.0,3.0,1.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,2.0,3.0,3.0,2.0,3.0,2.0,6.0,4.0,3.0,1.0,2.0,3.0,,1.0,3.0,1.0,1.0,5.0,3.0,2.0,4.0,2.0,2.0,4.0,4.0,6.0,1.0,1.0,6.0,5.0,1.0,,4.0,2.0,1.0,1.0,2.0,,,3.0,,1.0,2.0,1.0,2.0,1.0,2.0,3.0,2.0,1.0,4.0,2.0,2.0,1.0,1.0,2.0,5.0,1.0,5.0,1.0,1.0,7.0,1.0,1.0,3.0,6.0,2.0,2.0,1.0,1.0,1.0,2.0,1.0,,1.0,,,,,1.0,6.0,1.0,1.0,5.0,5.0,5.0,2.0,2.0,2.0
deu,German,0,80000000,Czech Republic,0.878,Point(16.0 50.0),10701777,gha,German (Hannover),Eurasia,52.4166666667,9.666666666669999,deu,Indo-European,,Germanic,cff4400,DE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
deu,German,0,80000000,Czech Republic,0.878,Point(16.0 50.0),10701777,gma,German (Mansfeldisch),Eurasia,51.5833333333,11.5,deu,Indo-European,,Germanic,cff4400,DE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
deu,German,0,80000000,Czech Republic,0.878,Point(16.0 50.0),10701777,gth,German (Thuringian),Eurasia,51.0,11.0,deu,Indo-European,,Germanic,cff4400,DE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
deu,German,0,80000000,Czech Republic,0.878,Point(16.0 50.0),10701777,gti,German (Timisoara),Eurasia,45.75,21.25,deu,Indo-European,,Germanic,cff4400,RO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
deu,German,0,105000000,Czech Republic,0.878,Point(16.0 50.0),10701777,gbl,German (Berlin),Eurasia,52.5,13.333333333299999,deu,Indo-European,,Germanic,cff4400,DE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
deu,German,0,105000000,Czech Republic,0.878,Point(16.0 50.0),10701777,ger,German,Eurasia,52.0,10.0,deu,Indo-European,,Germanic,cff4400,CH DE AT,2.0,1.0,2.0,2.0,1.0,1.0,3.0,1.0,3.0,4.0,8.0,5.0,2.0,,1.0,2.0,2.0,1.0,7.0,2.0,4.0,,,,2.0,,,1.0,1.0,1.0,2.0,2.0,1.0,,2.0,3.0,2.0,,1.0,7.0,7.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0,,1.0,,,2.0,6.0,,,,1.0,1.0,4.0,16.0,6.0,,13.0,15.0,,,4.0,8.0,7.0,1.0,15.0,9.0,,,4.0,4.0,1.0,11.0,,,,,,,1.0,4.0,3.0,1.0,1.0,1.0,3.0,1.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,2.0,3.0,3.0,2.0,3.0,2.0,6.0,4.0,3.0,1.0,2.0,3.0,,1.0,3.0,1.0,1.0,5.0,3.0,2.0,4.0,2.0,2.0,4.0,4.0,6.0,1.0,1.0,6.0,5.0,1.0,,4.0,2.0,1.0,1.0,2.0,,,3.0,,1.0,2.0,1.0,2.0,1.0,2.0,3.0,2.0,1.0,4.0,2.0,2.0,1.0,1.0,2.0,5.0,1.0,5.0,1.0,1.0,7.0,1.0,1.0,3.0,6.0,2.0,2.0,1.0,1.0,1.0,2.0,1.0,,1.0,,,,,1.0,6.0,1.0,1.0,5.0,5.0,5.0,2.0,2.0,2.0
deu,German,0,105000000,Czech Republic,0.878,Point(16.0 50.0),10701777,gha,German (Hannover),Eurasia,52.4166666667,9.666666666669999,deu,Indo-European,,Germanic,cff4400,DE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
deu,German,0,105000000,Czech Republic,0.878,Point(16.0 50.0),10701777,gma,German (Mansfeldisch),Eurasia,51.5833333333,11.5,deu,Indo-European,,Germanic,cff4400,DE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
deu,German,0,105000000,Czech Republic,0.878,Point(16.0 50.0),10701777,gth,German (Thuringian),Eurasia,51.0,11.0,deu,Indo-European,,Germanic,cff4400,DE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
deu,German,0,105000000,Czech Republic,0.878,Point(16.0 50.0),10701777,gti,German (Timisoara),Eurasia,45.75,21.25,deu,Indo-European,,Germanic,cff4400,RO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
deu,German,0,80000000,Liechtenstein,0.9079999999999999,Point(9.553889 47.145),37922,gbl,German (Berlin),Eurasia,52.5,13.333333333299999,deu,Indo-European,,Germanic,cff4400,DE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
deu,German,0,80000000,Liechtenstein,0.9079999999999999,Point(9.553889 47.145),37922,ger,German,Eurasia,52.0,10.0,deu,Indo-European,,Germanic,cff4400,CH DE AT,2.0,1.0,2.0,2.0,1.0,1.0,3.0,1.0,3.0,4.0,8.0,5.0,2.0,,1.0,2.0,2.0,1.0,7.0,2.0,4.0,,,,2.0,,,1.0,1.0,1.0,2.0,2.0,1.0,,2.0,3.0,2.0,,1.0,7.0,7.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0,,1.0,,,2.0,6.0,,,,1.0,1.0,4.0,16.0,6.0,,13.0,15.0,,,4.0,8.0,7.0,1.0,15.0,9.0,,,4.0,4.0,1.0,11.0,,,,,,,1.0,4.0,3.0,1.0,1.0,1.0,3.0,1.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,2.0,3.0,3.0,2.0,3.0,2.0,6.0,4.0,3.0,1.0,2.0,3.0,,1.0,3.0,1.0,1.0,5.0,3.0,2.0,4.0,2.0,2.0,4.0,4.0,6.0,1.0,1.0,6.0,5.0,1.0,,4.0,2.0,1.0,1.0,2.0,,,3.0,,1.0,2.0,1.0,2.0,1.0,2.0,3.0,2.0,1.0,4.0,2.0,2.0,1.0,1.0,2.0,5.0,1.0,5.0,1.0,1.0,7.0,1.0,1.0,3.0,6.0,2.0,2.0,1.0,1.0,1.0,2.0,1.0,,1.0,,,,,1.0,6.0,1.0,1.0,5.0,5.0,5.0,2.0,2.0,2.0
deu,German,0,80000000,Liechtenstein,0.9079999999999999,Point(9.553889 47.145),37922,gha,German (Hannover),Eurasia,52.4166666667,9.666666666669999,deu,Indo-European,,Germanic,cff4400,DE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
deu,German,0,80000000,Liechtenstein,0.9079999999999999,Point(9.553889 47.145),37922,gma,German (Mansfeldisch),Eurasia,51.5833333333,11.5,deu,Indo-European,,Germanic,cff4400,DE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
deu,German,0,80000000,Liechtenstein,0.9079999999999999,Point(9.553889 47.145),37922,gth,German (Thuringian),Eurasia,51.0,11.0,deu,Indo-European,,Germanic,cff4400,DE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
deu,German,0,80000000,Liechtenstein,0.9079999999999999,Point(9.553889 47.145),37922,gti,German (Timisoara),Eurasia,45.75,21.25,deu,Indo-European,,Germanic,cff4400,RO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
deu,German,0,105000000,Liechtenstein,0.9079999999999999,Point(9.553889 47.145),37922,gbl,German (Berlin),Eurasia,52.5,13.333333333299999,deu,Indo-European,,Germanic,cff4400,DE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
deu,German,0,105000000,Liechtenstein,0.9079999999999999,Point(9.553889 47.145),37922,ger,German,Eurasia,52.0,10.0,deu,Indo-European,,Germanic,cff4400,CH DE AT,2.0,1.0,2.0,2.0,1.0,1.0,3.0,1.0,3.0,4.0,8.0,5.0,2.0,,1.0,2.0,2.0,1.0,7.0,2.0,4.0,,,,2.0,,,1.0,1.0,1.0,2.0,2.0,1.0,,2.0,3.0,2.0,,1.0,7.0,7.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0,,1.0,,,2.0,6.0,,,,1.0,1.0,4.0,16.0,6.0,,13.0,15.0,,,4.0,8.0,7.0,1.0,15.0,9.0,,,4.0,4.0,1.0,11.0,,,,,,,1.0,4.0,3.0,1.0,1.0,1.0,3.0,1.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,2.0,3.0,3.0,2.0,3.0,2.0,6.0,4.0,3.0,1.0,2.0,3.0,,1.0,3.0,1.0,1.0,5.0,3.0,2.0,4.0,2.0,2.0,4.0,4.0,6.0,1.0,1.0,6.0,5.0,1.0,,4.0,2.0,1.0,1.0,2.0,,,3.0,,1.0,2.0,1.0,2.0,1.0,2.0,3.0,2.0,1.0,4.0,2.0,2.0,1.0,1.0,2.0,5.0,1.0,5.0,1.0,1.0,7.0,1.0,1.0,3.0,6.0,2.0,2.0,1.0,1.0,1.0,2.0,1.0,,1.0,,,,,1.0,6.0,1.0,1.0,5.0,5.0,5.0,2.0,2.0,2.0
deu,German,0,105000000,Liechtenstein,0.9079999999999999,Point(9.553889 47.145),37922,gha,German (Hannover),Eurasia,52.4166666667,9.666666666669999,deu,Indo-European,,Germanic,cff4400,DE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
deu,German,0,105000000,Liechtenstein,0.9079999999999999,Point(9.553889 47.145),37922,gma,German (Mansfeldisch),Eurasia,51.5833333333,11.5,deu,Indo-European,,Germanic,cff4400,DE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
deu,German,0,105000000,Liechtenstein,0.9079999999999999,Point(9.553889 47.145),37922,gth,German (Thuringian),Eurasia,51.0,11.0,deu,Indo-European,,Germanic,cff4400,DE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
deu,German,0,105000000,Liechtenstein,0.9079999999999999,Point(9.553889 47.145),37922,gti,German (Timisoara),Eurasia,45.75,21.25,deu,Indo-European,,Germanic,cff4400,RO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cdo,Min Dong,0,9100000,Japan,0.909,Point(136.0 35.0),126434565,fuz,Fuzhou,Eurasia,26.0,119.5,cdo,Sino-Tibetan,,Chinese,f000000,CN MY TH,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,2.0,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,3.0,,,,,,,,,,,,2.0,,,,,,,,,,,1.0,,,,,,,,,,,,1.0,,,,,,,,,,,1.0,,,,,,,,,,,,1.0,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,
cdo,Min Dong,0,9100000,People's Republic of China,0.752,Point(103.451944444 35.844722222),1409517397,fuz,Fuzhou,Eurasia,26.0,119.5,cdo,Sino-Tibetan,,Chinese,f000000,CN MY TH,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,2.0,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,3.0,,,,,,,,,,,,2.0,,,,,,,,,,,1.0,,,,,,,,,,,,1.0,,,,,,,,,,,1.0,,,,,,,,,,,,1.0,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,
cdo,Min Dong,0,9100000,People's Republic of China,0.752,Point(103.451944444 35.844722222),1443497378,fuz,Fuzhou,Eurasia,26.0,119.5,cdo,Sino-Tibetan,,Chinese,f000000,CN MY TH,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,2.0,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,3.0,,,,,,,,,,,,2.0,,,,,,,,,,,1.0,,,,,,,,,,,,1.0,,,,,,,,,,,1.0,,,,,,,,,,,,1.0,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,
